question1,question2
curiosity to admiration: Should I buy a laptop with AMD A10-8700P or Intel i5-5200U to go with 6 GB Ram and Windows 10?,Should I buy a laptop with AMD A10-8700P or Intel i5-5200U to go with 6 GB Ram and Windows 10?
"curiosity to confusion: How come it seems there always isn't enough money? Do they need to print more? Or are the rich taking it all through salary, taxes etc.?","How come it seems there always isn't enough money? Do they need to print more? Or are the rich taking it all through salary, taxes etc.?"
curiosity to love: What are some easy hindi karaoke songs for singers?,What are some easy hindi karaoke songs for singers?
anger to curiosity: Who is the stupidest character in Game of Thrones?,Who is the stupidest character in Game of Thrones?
curiosity to confusion: What is the best way to reduce noise?,What is the best way to reduce noise?
curiosity to love: Where are the major Incense (Aggarbati) manufacturing units in India?,Where are the major Incense (Aggarbati) manufacturing units in India?
curiosity to admiration: What are your most effective beauty secrets?,What are your most effective beauty secrets?
amusement to curiosity: How can I make my husband laugh on one of his hectic day?,How do I deal with procrastination? Especially when I know I'll fail if I procrastinate but still does it?
curiosity to confusion: How can we find out dt the the erson is on another call or not in imo video call? Whts the diff between available stauts and online status,How can we find out dt the the erson is on another call or not in imo video call? Whts the diff between available stauts and online status
admiration to curiosity: What's the best movie you have seen so far?,Which is the best movie you ever watched?
"curiosity to love: I dated my mama (maternal uncle),he broke up and its been 2 years, he moved on but I'm still there, this is affecting my career too, what should I do?","I dated my mama (maternal uncle),he broke up and its been 2 years, he moved on but I'm still there, this is affecting my career too, what should I do?"
"amusement to curiosity: If maturity is important in relationships, why do so many couples act like children by flirting and cracking jokes?","What is ""Compatibility"" and why is it so important for success in a relationship? And can a not so compatible couple be happy together?"
curiosity to love: Can one be madly in love with one person and at the same time have an intense crush on another? How does one handle this situation?,Can one be madly in love with one person and at the same time have an intense crush on another? How does one handle this situation?
curiosity to desire: What are some workouts to increase footwork and foot speed in football?,What are some workouts to increase footwork and foot speed in football?
curiosity to love: What is the title of the NCIS theme song and who wrote it?,What is the title of the NCIS theme song and who wrote it?
confusion to curiosity: Why isn't Prince Vajiralongkorn liked in Thailand?,"If prince Vajiralongkorn died, who would be the successor of King Bhumibol Adulyadej (Rama IX) of Thailand?"
confusion to curiosity: Where do I start to learn about the Middle East conflict?,Where can I learn about Iran-Israel conflict and war in Syria from the start?
curiosity to annoyance: What do foreigners find most annoying about Indians?,What is the most annoying thing about India?
curiosity to sadness: How do I find my lost mobile using IMEI?,"I lost my Lava mobile. I have an IMEI number. Is there any possibility to find my mobile using the IMEI number, even if they remove my SIM card?"
curiosity to confusion: Is it bad to be attracted to someone else if you are already in a committed relationship?,Is it bad to be attracted to someone else if you are already in a committed relationship?
"curiosity to admiration: What are some good, slow blues songs?","What are some good, slow blues songs?"
confusion to curiosity: How can I remove burlap´s smell?,Cleaning: What are some ways to get rid of vinegar smell?
curiosity to admiration: How do you improve your writing skills?,How do you improve your writing skills?
"curiosity to fear: What are the feelings you have never felt? What is the feeling that prevails over the others, and you feel most frequently in everyday life?",What is the most terrifying/spookiest incident in your life that made you feel that ghosts exist?
"curiosity to desire: I'm 16, how can I get into an 18+ concert?","I'm 16, how can I get into an 18+ concert?"
